Abalistes stellatus
Aboma etheostoma
Aborichthys cataracta
Aborichthys elongatus
Aborichthys garoensis
Aborichthys kempi
Aborichthys tikaderi
Acanthorhodeus chankaensis
Acantopsis octoactinotos
Acantopsis spectabilis
Acantopsis thiemmedhi
Achirus klunzingeri
Achirus mazatlanus
Achirus scutum
Achirus zebrinus
Adinia xenica
Akysis variegatus
Akysis vespertinus
Alburnoides bipunctatus
Alburnus alburnus
Alectis ciliaris
Allenbatrachus grunniens
Allodontichthys hubbsi
Allodontichthys polylepis
Allodontichthys zonistius
Alosa fallax
Amaralia hypsiura
Amazonsprattus scintilla
Ambassis gymnocephalus
Ambassis miops
Amblycirrhitus bimacula
Amblycirrhitus pinos
Amblyglyphidodon aureus
Amblyglyphidodon batunai
Amblyglyphidodon leucogaster
Amblyglyphidodon ternatensis
Amblypomacentrus breviceps
Ameiurus melas
Ameiurus natalis
Anableps anableps
Anableps dowei
Anablepsoides amphoreus
Anablepsoides erberi
Anablepsoides limoncochae
Anacanthus barbatus
Anadoras grypus
Anadoras weddellii
Anaora tentaculata
Anarhichas lupus
Anchoa belizensis
Anchoviella alleni
Anchoviella brevirostris
Anchoviella carrikeri
Anchoviella cayannensis
Anchoviella jamesi
Anchoviella lepidentostole
Anchoviella manamensis
Anchoviella vaillanti
Andinoacara pulcher
Andinoacara rivulatus
Anematichthys repasson
Anguilla anguilla
Anguilla rostrata
Anisotremus virginicus
Anomalochromis thomasi
Anoplocapros lenticularis
Anostomoides laticeps
Antennatus tuberosus
Anthias anthias
Anyperodon leucogrammicus
Apareiodon davisi
Apareiodon gransabana
Apareiodon hasemani
Apareiodon ibitiensis
Aphanius dispar dispar
Aphanius fasciatus
Aphanius iberus
Aphanius mento
Aphanius saourensis
Aphyolebias peruensis
Aphyolebias schleseri
Apistogrammoides pucallpaensis
Aplocheilichthys brichardi
Aplocheilichthys spilauchen
Apogon coccineus
Apogon doryssa
Apogon erythrinus
Apogonichthyoides melas
Aracana aurita
Aracana ornata
Archamia bleekeri
Archamia zosterophora
Archocentrus centrarchus
Archocentrus multispinosus
Ariopsis seemanni
Aristochromis christyi
Arius graeffei
Aspidontus taeniatus
Astrodoras asterifrons
Astyanax aurocaudatus
Astyanax bimaculatus
Astyanax daguae
Astyanax jordani
Astyanax mexicanus
Atherina presbyter
Atractosteus spatula
